approach,feature_type,best_model,best_f1,best_accuracy,best_precision,best_recall,best_roc_auc,mean_f1,median_f1,std_f1
Traditional ML,TF-IDF (3000 features),LogisticRegression,0.9826658229169298,0.9829443447037702,,,0.9475918906700976,0.9532776551856362,0.9664468929808784,0.04108917076898637
Embedding-based,Sentence Transformers (384D),SVC,0.989964423794012,0.9901256732495513,,,0.9630872483221476,0.9545884372484579,0.9718879373623576,0.045469302505035225
